OBJECTID,Neighborhood Name,Region,Total Population,Median Household Income,Median Home Value,Percent White Population,Percent Black Population,Percent Asian Population,Percent Hispanic Population,Percent Owner Occupied Housing Units,Percent Population With Higher Education,Number of Permits,Mean Year Built of Retrofitted Residences,Mean Building Age (All Residences),Mean Year Built of All 1 or 2 Family Dwellings,Number of 1 or 2 Family Dwellings,Mean Year Built of All 1 or 2 Family Dwellings Built Before 1980,Number of 1 or 2 Family Dwellings Built Before 1980,Normalized Permit Count (Method 2),Permits Per 1000 Residences (Method 2- Overall),Transformed Permit Count (Method 2- Overall),Number of 1 or 2 Family Dwellings Built Before 1940,Percent of 1 or 2 Family Dwellings Built Before 1940,Permits Per 1000 Residences (Method 2- Pre 2013),Transformed Permit Count (Method 2- Pre 2013),Permits Per 1000 Residences (Method 2- 2013 Onwards),Transformed Permit Count (Method 2- 2013 Onwards)
56,Larchmont,Central LA,7913,80127,1042785,36.51,4.33,28.6,28.37,26.45,60.4,75,1922.712329,74.984289,1947.015711,1275,1933.399093,895,0.082965,82.965,4.430395,861,67.529412,65.265487,4.193669,17.699115,2.928476
57,Leimert Park,South LA,12668,62297,713103,8.51,61.56,3.53,23,46.12,47.07,29,1935.517241,86.892164,1935.107836,2886,1941.131561,2860,0.010133,10.133,2.409893,1946,67.428967,6.289308,1.986409,3.843466,1.577631
58,Lincoln Heights,Northeast LA and the Eastside,27091,52246,641538,15.33,2.3,22.98,66.36,26.84,28.13,35,1910.548387,93.449198,1928.550802,2092,1922.204118,1713,0.020396,20.396,3.063217,1556,74.378585,5.244755,1.831742,15.151515,2.782014
59,Los Feliz,Central LA,32498,90460,1326905,66.07,2.99,11.55,16.45,24.14,72.94,194,1928.031414,78.401243,1943.598757,4987,1948.002189,4568,0.04234,42.34,3.769067,2792,55.985562,30.117852,3.437782,12.221737,2.581862
60,Manchester Square,South LA,12081,58111,574685,4.52,61.56,0.91,31.15,55.38,29.15,31,1928.451613,91.295838,1930.704162,2667,1936.185709,2642,0.011734,11.734,2.544239,2406,90.213723,9.084027,2.310953,2.649508,1.294592
61,Mar Vista,Westside,34616,97566,1298292,54.66,3.15,15.16,23.9,38.52,66.77,50,1945.64,67.256601,1954.743399,7122,1958.76601,6091,0.008207,8.207,2.220017,827,11.611907,6.073539,1.956361,2.133946,1.142293
62,Mid-City,Central LA,49850,70733,902424,24.24,19.55,7.37,48.63,34.11,45.03,179,1930.358382,85.510603,1936.489397,6657,1939.162364,6159,0.028988,28.988,3.400792,4841,72.720445,19.919028,3.040659,9.068826,2.309444
63,Mid-Wilshire,Central LA,45863,95526,1183373,43.46,11.72,22.5,18.54,20.66,72.75,214,1926.178744,83.188391,1938.811609,4778,1936.740025,4053,0.052477,52.477,3.979246,3701,77.459188,38.989701,3.688622,13.487003,2.673252
64,Mission Hills,San Fernando Valley & The Verdugos,19713,86533,582733,25.63,2.78,9.95,69.55,74.44,30.52,2,1952.5,64.65294,1957.34706,4371,1958.578402,4056,0.000493,0.493,0.400852,128,2.928392,0.493097,0.400852,0,0
65,Montecito Heights,Northeast LA and the Eastside,15838,84341,693253,26.29,3.56,19.46,55.3,55.92,48.31,43,1917.365854,64.265357,1957.734643,4433,1942.021362,2481,0.017332,17.332,2.908633,1508,34.017595,9.673519,2.367766,7.658202,2.158507
66,Mount Washington,Northeast LA and the Eastside,12485,110243,855268,42.6,2.68,12.98,41.93,64.49,59.53,97,1931.810526,72.422354,1949.577646,3885,1947.621263,3245,0.029892,29.892,3.430502,1638,42.162162,13.251156,2.656838,16.640986,2.870225
67,North Hills,San Fernando Valley & The Verdugos,58014,78848,617683,23.87,4.18,15.69,60.77,48.88,37.48,4,1956.5,55.11949,1966.88051,9959,1961.243926,7326,0.000546,0.546,0.435671,133,1.335475,0.4095,0.343235,0.1365,0.127953
68,North Hollywood,San Fernando Valley & The Verdugos,78299,60378,649530,38.87,6.71,6.95,50.1,21.46,46.07,34,1941.030303,64.82864,1957.17136,8772,1951.520394,6597,0.005153,5.153,1.816952,1565,17.840857,4.395271,1.685523,0.757805,0.564066
69,Northridge,San Fernando Valley & The Verdugos,65786,92797,721605,38.09,6.41,19.31,37.04,48.94,54.1,12,1955.583333,56.442463,1965.557537,12733,1964.109689,10940,0.001097,1.097,0.740409,94,0.738239,0.639795,0.494571,0.456997,0.376377
70,Pacific Palisades,Westside,24680,200001,2000001,81.59,0.8,6.6,6.18,79.36,85.65,49,1944.645833,56.284098,1965.715902,9195,1965.51501,6862,0.007141,7.141,2.096885,866,9.418162,5.537744,1.877592,1.603031,0.956677
71,Pacoima,San Fernando Valley & The Verdugos,75333,64956,488753,15.32,3.42,3.57,88.68,54.28,16.51,4,1953.5,61.876867,1960.123133,10915,1957.023578,8653,0.000462,0.462,0.379988,897,8.218049,0.462267,0.379988,0,0
72,Palms,Westside,43502,85574,931867,44.93,6.65,23.57,22.48,12.81,72.5,41,1947.97561,63.586963,1958.413037,3240,1957.057598,2449,0.016673,16.673,2.872063,664,20.493827,12.606751,2.610566,4.066694,1.622688
73,Panorama City,San Fernando Valley & The Verdugos,68405,54978,545753,17.4,2.81,15.42,70.07,33.74,26.27,7,1951.428571,58.423756,1963.576244,8217,1959.765313,6204,0.001128,1.128,0.755326,26,0.316417,0.967118,0.67657,0.161186,0.149442
74,Pico-Robertson,Westside,19608,94116,1031915,72.97,3.64,7.72,9.46,23.33,73.95,61,1933.571429,61.424553,1960.575447,2634,1950.904394,1686,0.035925,35.925,3.608878,1122,42.596811,28.857479,3.396435,7.067138,2.087799
75,Pico-Union,Central LA,39252,39378,619734,10.81,3.99,13.02,77.56,9.66,21.79,17,1906.692308,92.589041,1929.410959,1361,1914.946985,971,0.017418,17.418,2.91333,941,69.140338,10.245902,2.420004,7.172131,2.10073
76,Playa del Rey,South Bay,10865,127006,931018,65.61,4.98,11,13.54,51.37,81.25,11,1956.3,48.496249,1973.503751,3467,1967.807611,1892,0.005814,5.814,1.918972,89,2.567061,3.171247,1.428215,2.642706,1.292727
77,Playa Vista,Westside,15849,160597,1170208,51.54,8.69,21.66,13.6,33.72,83.74,1,1953,24.466899,1997.533101,3157,1957.989343,563,0.001776,1.776,1.021083,24,0.760215,0,0,1.776199,1.021083
78,Porter Ranch,San Fernando Valley & The Verdugos,25832,149724,803591,50.14,2.74,29.92,15.56,87.03,67.4,6,1964,46.993341,1975.006659,8710,1969.672314,5902,0.001017,1.017,0.701415,3,0.034443,0.508302,0.410985,0.508302,0.410985
79,Rancho Park,Westside,4566,101994,1130820,52.76,3.2,23.85,15.57,51.73,73.34,5,1955,75.288006,1946.711994,1309,1956.78922,1244,0.004019,4.019,1.613289,263,20.091673,3.215434,1.438753,0.803859,0.589928
80,Reseda,San Fernando Valley & The Verdugos,70827,76174,608072,31.57,4.14,13.74,53.57,48.16,36.42,28,1949.535714,61.404581,1960.595419,13929,1959.723574,11873,0.002358,2.358,1.211432,346,2.484026,1.347595,0.853392,1.010697,0.698481
81,San Pedro,The Harbor,82679,80332,708654,42.27,7.18,7.31,47.7,42.99,41.67,109,1929.925234,63.633169,1958.366831,16399,1953.683282,12580,0.008656,8.656,2.267538,4041,24.641746,6.114508,1.962136,2.541094,1.264436
82,Sawtelle,Westside,39688,101557,906849,51.79,2.97,22.22,19.81,25.62,73.86,27,1943.777778,50.610053,1971.389947,5829,1958.324157,3233,0.008338,8.338,2.234144,805,13.810259,5.250154,1.832606,3.088326,1.408136
83,Sepulveda Basin,San Fernando Valley & The Verdugos,295,129147,820833,67.12,6.78,9.83,14.92,69.66,58.61,0,,68.563636,1953.436364,110,1958.963636,110,0,0,0,0,0,0,0,0,0
84,Shadow Hills,San Fernando Valley & The Verdugos,15145,106730,771251,68.01,1.92,7.37,23.03,75.64,52.66,6,1952,59.096199,1962.903801,4709,1963.378505,4066,0.001476,1.476,0.906504,405,8.600552,0.983768,0.684998,0.491884,0.40004
85,Sherman Oaks,San Fernando Valley & The Verdugos,69773,109391,987123,68.07,5.32,8.3,15.27,41.82,72.1,73,1948.619718,57.713135,1964.286865,17259,1962.714363,12929,0.005644,5.644,1.893786,1508,8.73747,3.40215,1.482093,2.242326,1.176291
86,Silver Lake,Central LA,29236,103563,1055281,53.4,3.09,15.8,25.58,36.52,70.91,302,1925.459649,75.679568,1946.320432,6023,1943.381389,4915,0.06127,61.27,4.13148,3502,58.143782,39.561777,3.702826,21.708257,3.122729
87,South Park,South LA,33270,42806,556419,9.05,11.6,0.76,85.29,30.01,10.25,19,1918.277778,99.860155,1922.139845,2710,1923.928368,2460,0.00772,7.72,2.16567,2340,86.346863,5.282406,1.837753,2.438033,1.2349
88,Studio City,San Fernando Valley & The Verdugos,39624,122764,1236371,70.71,4.51,8.74,12.18,44.96,74.77,69,1943.352941,55.343962,1966.656038,10601,1961.160865,7211,0.009567,9.567,2.357773,1893,17.856806,6.794232,2.053384,2.773156,1.327912
90,Sun Valley,San Fernando Valley & The Verdugos,75033,63630,614492,27.6,2.43,8.74,67.65,48.17,27.73,11,1949,67.36887,1954.63113,12419,1957.845213,11617,0.000947,0.947,0.666232,654,5.266124,0.688646,0.523927,0.258242,0.229716
89,Sunland,San Fernando Valley & The Verdugos,16543,98749,649175,63.11,1.5,8.22,27.48,65.97,44.86,9,1939.888889,64.802165,1957.197835,4622,1958.776047,4108,0.002191,2.191,1.160286,541,11.70489,1.460565,0.900391,0.730282,0.548285
91,Sylmar,San Fernando Valley & The Verdugos,82565,84952,598712,21.44,2.89,5.95,78.61,64.43,28.55,7,1954,50.818648,1971.181352,15981,1961.647216,10094,0.000693,0.693,0.526786,369,2.308992,0.396275,0.333808,0.297206,0.260213
92,Tarzana,San Fernando Valley & The Verdugos,37542,95180,926954,66.03,4.21,7.61,19.49,55.5,59.22,10,1955.4,53.741677,1968.258323,10723,1968.090044,8618,0.00116,1.16,0.770276,200,1.86515,0.812253,0.594571,0.348109,0.298703
93,Toluca Lake,San Fernando Valley & The Verdugos,9302,104896,1087137,68.92,5.45,7.17,16.38,38.8,67.25,15,1938.8,58.77773,1963.22227,2308,1957.383226,1550,0.009677,9.677,2.368131,665,28.812825,8.387097,2.239336,1.290323,0.828693
94,Tujunga,San Fernando Valley & The Verdugos,28113,77801,653483,64.68,1.39,8.96,24.76,55.62,42.47,15,1943.571429,63.478224,1958.521776,7099,1956.391807,5713,0.002626,2.626,1.288017,1330,18.735033,1.925433,1.073443,0.700158,0.530721
95,University Park,Central LA,25477,18247,708333,30.61,8.86,29.32,33.24,7.49,45.07,31,1903.125,108.093156,1913.906844,537,1915.205821,483,0.063918,63.918,4.173118,466,86.778399,32.989691,3.526057,30.927835,3.463478
96,Valley Glen,San Fernando Valley & The Verdugos,58724,64709,696819,50.88,3.88,6.04,40.81,33.86,44.64,19,1947.333333,66.560819,1955.439181,8739,1958.365175,7977,0.002381,2.381,1.218157,487,5.57272,1.754386,1.013195,0.626566,0.486471
97,Valley Village,San Fernando Valley & The Verdugos,27232,86085,917052,63.79,6.14,7.21,20.26,29.58,63.76,17,1943.3125,60.172914,1961.827086,4483,1959.624782,3438,0.004943,4.943,1.782264,957,21.347312,3.489386,1.501716,1.453911,0.897683
98,Van Nuys,San Fernando Valley & The Verdugos,108557,55555,618367,29.66,5.34,7.65,60.65,25.53,33.84,19,1943.210526,62.02838,1959.97162,11488,1956.934265,9158,0.002075,2.075,1.123204,1064,9.261838,1.419524,0.883571,0.655165,0.503901
99,Venice,Westside,38152,124809,1727695,68.64,4.81,6.34,16.63,38.32,74.89,146,1927.262411,60.435238,1961.564762,9385,1955.341471,6393,0.02282,22.82,3.17051,2590,27.59723,15.942482,2.829824,6.877149,2.063966
101,Vermont-Slauson,South LA,28430,43871,486707,7.26,21.09,0.63,75.2,36.29,16.01,9,1919.111111,95.950534,1926.049466,3574,1928.104304,3352,0.002685,2.685,1.304261,3178,88.919978,2.088305,1.127623,0.596659,0.467913
100,Vermont Knolls,South LA,22507,39354,506878,5.82,32.01,0.56,63.94,26.93,17.02,10,1933.888889,90.802073,1931.197927,2027,1932.292853,1886,0.005302,5.302,1.840903,1787,88.159842,4.241782,1.656661,1.060445,0.722922
102,Vermont Square,South LA,49690,46689,590439,8.21,21.86,1.61,71.84,34.18,17.77,67,1916.476923,104.031336,1917.968664,5860,1924.546636,5695,0.01175,11.75,2.545552,5587,95.341297,6.839705,2.059201,4.910558,1.77674
103,Vermont Vista,South LA,25901,46243,472359,6.48,30.06,0.77,65.98,37.06,16.55,12,1926.416667,85.645263,1936.354737,3477,1938.645891,3275,0.003664,3.664,1.5399,2493,71.699741,2.442748,1.23627,1.221374,0.798126
104,Watts,South LA,44202,35437,437424,8.06,22.53,0.49,75.16,32.92,10.92,9,1950.666667,68.286887,1953.713113,4880,1943.515187,3461,0.0026,2.6,1.281046,1875,38.422131,2.600405,1.281046,0,0
105,West Adams,South LA,21948,55667,637848,13.82,21.83,3.26,63.6,37.34,26.98,53,1927.45098,90.048328,1931.951672,3027,1937.712225,2913,0.018169,18.169,2.953313,2404,79.418566,7.541995,2.144995,10.627357,2.453361
107,West Hills,San Fernando Valley & The Verdugos,40695,132359,704004,58.82,3.48,17.38,17.51,84.69,62.1,12,1964.166667,53.534554,1968.465446,13877,1964.334,10997,0.001091,1.091,0.737741,46,0.331484,0.545603,0.435414,0.545603,0.435414
109,West Los Angeles,Westside,14936,118054,1233266,64.52,2.23,18.75,8.43,45.9,82.21,53,1937.173077,60.980455,1961.019545,4042,1954.984538,2587,0.020448,20.448,3.06561,1694,41.909946,15.817901,2.822444,4.62963,1.728044
106,Westchester,South Bay,42556,119463,963189,50.73,11.38,15.44,18.23,52.26,72.93,49,1951.285714,67.212725,1954.787275,10389,1958.990643,9298,0.005267,5.267,1.835317,38,0.365771,3.762227,1.560715,1.504891,0.918245
108,Westlake,Central LA,107280,43373,631206,13.04,5.92,20.65,63.31,4.79,32.93,56,1917.283019,63.985684,1958.014316,2886,1945.361326,1814,0.030601,30.601,3.453192,1133,39.258489,12.021858,2.566629,18.579235,2.97447
110,Westwood,Westside,56600,98188,1486045,54.1,3.62,28.65,12.52,35.42,81.07,109,1937.119266,54.207443,1967.792557,10104,1962.17151,6301,0.017274,17.274,2.905488,2032,20.110847,14.104596,2.714999,3.169572,1.427813
111,Wilmington,The Harbor,50912,57700,513752,15.25,2.92,2.36,89.38,37.44,14.96,9,1929.285714,73.679436,1948.320564,6264,1950.309187,5660,0.00159,1.59,0.95159,2226,35.536398,0.883236,0.632992,0.706589,0.534497
112,Windsor Square,Central LA,5457,125015,2000001,47,3.3,35.97,11.53,49.55,67.64,76,1920.520548,92.18112,1929.81888,1303,1939.381151,1199,0.063281,63.281,4.163258,1106,84.881044,51.623647,3.963166,11.656953,2.538207
113,Winnetka,San Fernando Valley & The Verdugos,50344,82268,609760,29.75,4.51,18.81,49.61,56.13,40.37,14,1953.642857,58.047101,1963.952899,11316,1961.727443,9620,0.001455,1.455,0.898188,86,0.759986,0.727575,0.546719,0.727575,0.546719
114,Woodland Hills,San Fernando Valley & The Verdugos,72714,115230,854792,64.79,5.43,12.85,13.16,54.37,67.3,48,1956.708333,55.703056,1966.296944,19795,1965.032561,15878,0.003023,3.023,1.392041,196,0.990149,1.574506,0.945658,1.448545,0.895494
